,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
10244,42,Aug 89,F.R.J. Hervey,"Prof. Mukhopadhyay
Ignacio Beyens","xx
xx","xx
xx","53
53",41
10245,42,Aug 89,H.W. Segar,"R.H.W. Whapham
G.G. Storr","42
42","Nov 89
Nov 89","52
52",41
10246,42,Aug 89,B.F. Finkel,,,,,46
10247,42,Aug 89,W.J. Greenstreet,"J.J. Barniville
N. Sarkar","xx
xx","xx
xx","53
53",47
10248,42,Aug 89,R. Knowles,"G.G. Morrice
R.H.W. Whapham","42
42","Dec 89
Dec 89","52
52",48
10249,42,Aug 89,E. Lemoine,Ignacio Beyens,43,Aug 90,54,75
,,,,,,,,
,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
10250,42,Aug 89,E.M. Langley,,,,,41
10251,42,Aug 89,D. Biddle,P.H. Schoute,42,Sep 89,52,13
10252,42,Aug 89,R. Tucker,,,,,41
10253,42,Aug 89,H.J. Woodall,H.J. Woodall,xx,xx,57,22
10254,42,Aug 89,L.W. Robinson,Matilal Mallik,xx,xx,54,25
10255,42,Aug 89,W.J.C. Sharp,H.J. Woodall,xx,xx,56,9
10256,42,Aug 89,R.H.W. Whapham,"T. Galliers
N Sarkar","xx
xx","xx
xx","54
54",44
10257,42,Sep 89,J.J Sylvester,A.J. Pressland,xx,xx,53,10
10258,42,Sep 89,Prof. Neuberg,"H.J. Woodall
N. Sarkar","xx
xx","xx
xx","57
57",45
10259,42,Sep 89,G. de Longchamps,P.H. Schoute,xx,xx,52,45
10260,42,Sep 89,Prof. Lemaire,"T.R. Terry
J.C. Horobin","42
42","Nov 89
Nov 89","52
52",41
10261,42,Sep 89,Prof. Déprez,Frances E. Cave,xx,xx,83,45
10262,42,Sep 89,J. Wolstenholme,,,,,48
10263,42,Sep 89,Prof. Morley,P.H. Schoute,43,Jan 90,53,41
10264,42,Sep 89,Prof. Décamps,"J.J. Barniville
T. Galliers","43
43","Oct 90
Oct 90","54
54",46
10265,42,Sep 89,Syamadas Mukhopâdhyây,"J.J. Barniville
J.C. Horobin","xx
xx","xx
xx","53
53",41
10266,42,Sep 89,Prof. Gob,P.H. Schoute,xx,xx,53,41
10267,42,Sep 89,Prof. Hermite,H.J. Woodall,xx,xx,57,10
10268,42,Sep 89,Prof. Steggall,,,,,9
10269,42,Sep 89,F.R.J. Hervey,F.R.J. Hervey,43,Mar 90,53,12
10270,42,Sep 89,Editor,"J.J. Barniville
P.H. Schoute","42
42","Nov 89
Nov 89","52
52",6
10271,42,Sep 89,Capitaine de Rocquigny,"J.C. St. Clair
J.J. Barniville","xx
xx","xx
xx","53
53",9
10272,42,Sep 89,R.H.W. Whapham,"R.H.W. Whapham
B. Chakravarti","44
44","Feb 91
Feb 91","55
55",41
10273,42,Sep 89,J.J. Walker,,,,,44
10274,42,Sep 89,R. Harley,"R. Harley
H. MacColl","42
xx","Nov 89
xx","52
52",7
10275,42,Sep 89,D.T. Griffiths,"A.J. Pressland
R. Knowles","43
43","Jan 90
Jan 90","53
53",41
10276,42,Sep 89,T.R. Terry,T.R. Terry,43,Jul 90,54,53
10277,42,Sep 89,E. Cesáro,,55,U 02/02,,61
10278,42,Sep 89,Artemas Martin,,,,,10
